,lat,lon
0,55.67792000000001,37.507688
1,55.74914099999999,37.560635
2,55.76292919999999,37.5917853
3,55.6016717,37.4826757
4,55.645912,37.485996
5,55.7501946,37.5785375
6,55.6842592,37.296119
7,55.76162919999999,37.5726713
8,55.78356710000001,37.63384569999999
9,55.597507,38.1334376
10,55.9206338,37.8676894
11,55.8415945,37.3857474
12,55.7518128,37.5842922
13,55.900835,37.459835
14,55.6652858,37.4813647
15,55.77534259999999,37.5890468
16,55.7423363,37.52387
17,55.8552766,37.6840282
18,55.785656,37.636049
19,55.7406973,37.6299146
20,55.6904767,37.3027334
21,55.70896399999999,37.361792
22,55.807613,37.637946
23,55.888949,37.741523
24,55.7512905,37.58455670000001
25,55.7658583,37.6225579
26,55.76504629999999,37.6554746
27,55.797006,37.541183
28,55.73543350000001,37.6127793
29,55.88523,37.545162
30,55.76823539999999,37.6677806
31,55.781797,37.534512
32,55.8097674,37.6364725
33,55.829452,37.308147
34,55.7865415,37.6790474
35,55.7491752,37.662187
36,55.77627,37.59636199999999
37,55.7279245,37.6140551
38,55.7009519,37.50344740000001
39,55.64102210000001,37.6825435
40,55.730838,37.631681
41,55.646974,37.6048772
42,55.775578,37.46974660000001
43,55.6814574,37.5343713
44,55.72871399999999,37.69037359999999
45,55.73366739999999,37.5496355
46,55.6884145,37.3945642
47,55.684155,37.56870000000001
48,55.7375055,37.2472029
49,55.66584090000001,37.5488151
50,55.88619,37.662422
51,55.7654507,37.615903
52,55.7375232,37.6833952
53,55.73887099999999,37.270135
54,55.719473,37.418396
55,55.7042399,37.844644
56,55.7451774,37.5824888
57,55.8060766,37.6123612
58,55.7402185,37.6539699
59,55.74665199999999,37.55735600000001
60,55.7196347,37.4186001
61,55.69790200000001,37.5604293
62,55.734311,37.54880199999999
63,55.8903902,37.3007663
64,55.83381199999999,37.48633299999999
65,55.750923,37.412593
66,55.6857382,37.89845469999999
67,55.8881254,37.4385235
68,55.6802333,37.6235433
69,55.72468610000001,37.1589529
70,55.6090052,37.3325671
71,55.8324151,37.4544418
72,55.778464,37.585797
73,55.765325,37.4936135
74,55.7184717,37.5954214
75,55.6913054,37.4866414
76,55.8453083,37.4552519
77,55.801981,37.50819329999999
78,55.646009,37.486021
79,55.71816399999999,37.62198900000001
80,55.696696,37.8528276
81,56.0561626,37.5312381
82,55.6763053,37.5291031
83,55.780212,37.632756
84,55.8865498,37.5437059
85,55.9976681,37.2366719
86,55.76864,37.580891
87,55.70799599999999,37.6219826
88,55.7730859,37.6206717
89,55.7090498,37.3619317
90,55.921675,37.6647965
91,55.679092,37.559879
92,55.77507310000001,37.68475839999999
93,55.704124,37.844932
94,55.88133789999999,37.4192112
95,55.7882,37.48996
96,55.7997165,37.2795792
97,55.82375700000001,37.59097000000001
98,55.746641,37.55195
